Model,Accuracy,F1,Precision,Recall,ROC_AUC
Random Forest,0.9546616669507414,0.9550371872887086,0.949260752688172,0.9608843537414966,0.986244709704859
XGBoost,0.9553434463950912,0.9557133198106829,0.9499327956989247,0.9615646258503401,0.9879118644382932
Gradient Boosting,0.9514232145900801,0.9518662388110116,0.9453203622945321,0.9585034013605442,0.9843256195542789
Decision Tree,0.9541503323674791,0.954537772519858,0.9486059791736647,0.9605442176870749,0.9832253195094233
Logistic Regression,0.9464803136185445,0.9472268907563025,0.9362126245847177,0.9585034013605442,0.9805928384336311
